Entry_Number,Date,Time,Temperature,Humidity,P_Code 
0,15/5/2019,15:21:23,28.92,33.39,CK100231 
1,15/5/2019,15:21:25,28.92,33.32,CK100231 
2,15/5/2019,15:21:26,28.92,33.26,CK100231 
3,15/5/2019,15:21:27,28.92,33.19,CK100231 
4,15/5/2019,15:21:28,28.92,33.14,CK100231 
5,15/5/2019,15:21:29,28.92,33.10,CK100231 
6,15/5/2019,15:21:30,28.92,33.07,CK100231 
7,15/5/2019,15:21:31,29.09,33.11,CK100231 
8,15/5/2019,15:21:32,29.69,34.39,CK100231 
9,15/5/2019,15:21:33,30.23,36.70,CK100231 
10,15/5/2019,15:21:34,30.67,39.43,CK100231 
11,15/5/2019,15:21:36,31.03,42.90,CK100231 
12,15/5/2019,15:21:37,31.31,46.33,CK100231 
13,15/5/2019,15:21:38,31.52,49.24,CK100231 
14,15/5/2019,15:21:39,31.68,51.62,CK100231 
15,15/5/2019,15:21:40,31.62,53.28,CK100231 
16,15/5/2019,15:21:41,31.51,53.62,CK100231 
17,15/5/2019,15:21:42,31.40,53.37,CK100231 
18,15/5/2019,15:21:43,31.31,53.02,CK100231 
19,15/5/2019,15:21:44,31.23,52.71,CK100231 
20,15/5/2019,15:21:46,31.17,52.39,CK100231 
21,15/5/2019,15:21:47,31.12,51.95,CK100231 
22,15/5/2019,15:21:48,31.09,51.34,CK100231 
23,15/5/2019,15:21:49,31.06,50.65,CK100231 
24,15/5/2019,15:21:50,31.05,49.97,CK100231 
25,15/5/2019,15:21:51,31.04,49.43,CK100231 
26,15/5/2019,15:21:52,31.04,49.00,CK100231 
27,15/5/2019,15:21:53,31.01,48.61,CK100231 
28,15/5/2019,15:21:54,30.97,47.73,CK100231 
29,15/5/2019,15:21:55,30.91,46.50,CK100231 
30,15/5/2019,15:21:57,30.86,45.15,CK100231 
31,15/5/2019,15:21:58,30.81,43.79,CK100231 
32,15/5/2019,15:21:59,30.77,42.53,CK100231 
33,15/5/2019,15:22:00,30.72,41.42,CK100231 
34,15/5/2019,15:22:01,30.68,40.41,CK100231 
0,15/5/2019,15:22:15,30.56,34.70,EG200234 
1,15/5/2019,15:22:16,30.47,34.49,EG200234 
2,15/5/2019,15:22:17,30.40,34.30,EG200234 
3,15/5/2019,15:22:18,30.34,34.12,EG200234 
4,15/5/2019,15:22:19,30.29,33.96,EG200234 
5,15/5/2019,15:22:20,30.25,33.81,EG200234 
6,15/5/2019,15:22:21,30.20,33.66,EG200234 
7,15/5/2019,15:22:22,30.17,33.52,EG200234 
8,15/5/2019,15:22:23,30.14,33.40,EG200234 
9,15/5/2019,15:22:25,30.11,33.27,EG200234 
10,15/5/2019,15:22:26,30.08,33.17,EG200234 
11,15/5/2019,15:22:27,30.15,33.13,EG200234 
12,15/5/2019,15:22:28,30.41,33.73,EG200234 
13,15/5/2019,15:22:29,30.67,35.02,EG200234 
14,15/5/2019,15:22:30,30.72,36.17,EG200234 
15,15/5/2019,15:22:31,30.71,36.72,EG200234 
16,15/5/2019,15:22:32,30.69,36.98,EG200234 
17,15/5/2019,15:22:33,30.68,37.17,EG200234 
18,15/5/2019,15:22:34,30.67,37.37,EG200234 
19,15/5/2019,15:22:36,30.68,37.55,EG200234 
20,15/5/2019,15:22:37,30.69,37.72,EG200234 
21,15/5/2019,15:22:38,30.70,37.99,EG200234 
22,15/5/2019,15:22:39,30.72,38.31,EG200234 
23,15/5/2019,15:22:40,30.75,38.62,EG200234 
24,15/5/2019,15:22:41,30.78,38.88,EG200234 
25,15/5/2019,15:22:42,30.81,39.08,EG200234 
26,15/5/2019,15:22:43,30.84,39.21,EG200234 
27,15/5/2019,15:22:44,30.88,39.33,EG200234 
28,15/5/2019,15:22:46,30.92,39.43,EG200234 
29,15/5/2019,15:22:47,30.96,39.53,EG200234 
30,15/5/2019,15:22:48,31.00,39.63,EG200234 
31,15/5/2019,15:22:49,31.02,39.62,EG200234 
0,15/5/2019,15:22:57,30.95,35.40,JW100239 
1,15/5/2019,15:22:58,30.89,34.91,JW100239 
2,15/5/2019,15:22:59,30.84,34.53,JW100239 
3,15/5/2019,15:23:01,30.77,34.32,JW100239 
4,15/5/2019,15:23:02,30.70,34.41,JW100239 
5,15/5/2019,15:23:03,30.63,34.64,JW100239 
6,15/5/2019,15:23:04,30.56,34.91,JW100239 
7,15/5/2019,15:23:05,30.50,35.18,JW100239 
8,15/5/2019,15:23:06,30.44,35.40,JW100239 
9,15/5/2019,15:23:07,30.38,35.59,JW100239 
10,15/5/2019,15:23:08,30.32,35.69,JW100239 
11,15/5/2019,15:23:09,30.26,35.80,JW100239 
12,15/5/2019,15:23:10,30.25,36.07,JW100239 
13,15/5/2019,15:23:12,30.45,37.00,JW100239 
14,15/5/2019,15:23:13,30.66,38.33,JW100239 
15,15/5/2019,15:23:14,30.85,39.72,JW100239 
16,15/5/2019,15:23:15,31.01,40.99,JW100239 
17,15/5/2019,15:23:16,31.15,42.10,JW100239 
18,15/5/2019,15:23:17,31.27,43.04,JW100239 
19,15/5/2019,15:23:18,31.30,43.83,JW100239 
20,15/5/2019,15:23:19,31.18,44.24,JW100239 
21,15/5/2019,15:23:20,31.05,44.10,JW100239 
22,15/5/2019,15:23:22,30.91,43.58,JW100239 
23,15/5/2019,15:23:23,30.79,42.79,JW100239 
24,15/5/2019,15:23:24,30.77,41.97,JW100239 
25,15/5/2019,15:23:25,31.11,42.59,JW100239 
26,15/5/2019,15:23:26,31.41,44.34,JW100239 
27,15/5/2019,15:23:27,31.66,45.93,JW100239 
28,15/5/2019,15:23:28,31.84,47.27,JW100239 
29,15/5/2019,15:23:29,31.99,48.41,JW100239 
30,15/5/2019,15:23:30,32.10,49.32,JW100239 
31,15/5/2019,15:23:32,32.19,50.04,JW100239 
32,15/5/2019,15:23:33,32.27,50.64,JW100239 
33,15/5/2019,15:23:34,32.32,51.15,JW100239 
34,15/5/2019,15:23:35,32.37,51.55,JW100239 
35,15/5/2019,15:23:36,32.40,51.92,JW100239 
36,15/5/2019,15:23:37,32.42,52.22,JW100239 
37,15/5/2019,15:23:38,32.37,52.46,JW100239 
38,15/5/2019,15:23:39,32.18,52.37,JW100239 
39,15/5/2019,15:23:40,31.97,51.35,JW100239 
40,15/5/2019,15:23:42,31.77,49.76,JW100239 
41,15/5/2019,15:23:43,31.60,48.00,JW100239 
42,15/5/2019,15:23:44,31.44,46.31,JW100239 
43,15/5/2019,15:23:45,31.31,44.72,JW100239 
44,15/5/2019,15:23:46,31.19,43.30,JW100239 
45,15/5/2019,15:23:47,31.08,42.01,JW100239 
46,15/5/2019,15:23:48,30.98,40.84,JW100239 
0,15/5/2019,15:23:59,30.82,35.05,KM450230 
1,15/5/2019,15:24:00,30.69,34.73,KM450230 
2,15/5/2019,15:24:01,30.59,34.49,KM450230 
3,15/5/2019,15:24:02,30.50,34.26,KM450230 
4,15/5/2019,15:24:03,30.43,34.02,KM450230 
5,15/5/2019,15:24:04,30.37,33.82,KM450230 
6,15/5/2019,15:24:05,30.32,33.65,KM450230 
7,15/5/2019,15:24:06,30.28,33.48,KM450230 
8,15/5/2019,15:24:07,30.24,33.33,KM450230 
9,15/5/2019,15:24:09,30.20,33.21,KM450230 
10,15/5/2019,15:24:10,30.21,33.11,KM450230 
11,15/5/2019,15:24:11,30.71,33.92,KM450230 
12,15/5/2019,15:24:12,31.26,36.59,KM450230 
13,15/5/2019,15:24:13,31.71,39.67,KM450230 
14,15/5/2019,15:24:14,32.06,42.19,KM450230 
15,15/5/2019,15:24:15,32.34,44.03,KM450230 
16,15/5/2019,15:24:16,32.55,45.42,KM450230 
17,15/5/2019,15:24:17,32.72,46.43,KM450230 
18,15/5/2019,15:24:19,32.84,47.19,KM450230 
19,15/5/2019,15:24:20,32.94,47.80,KM450230 
20,15/5/2019,15:24:21,33.00,48.23,KM450230 
21,15/5/2019,15:24:22,33.06,48.60,KM450230 
22,15/5/2019,15:24:23,33.09,48.88,KM450230 
23,15/5/2019,15:24:24,33.12,49.12,KM450230 
24,15/5/2019,15:24:25,33.14,49.31,KM450230 
25,15/5/2019,15:24:26,33.15,49.48,KM450230 
26,15/5/2019,15:24:27,33.15,49.64,KM450230 
27,15/5/2019,15:24:29,33.15,49.77,KM450230 
28,15/5/2019,15:24:30,33.14,49.90,KM450230 
29,15/5/2019,15:24:31,33.14,50.01,KM450230 
30,15/5/2019,15:24:32,33.09,50.14,KM450230 
31,15/5/2019,15:24:33,32.92,50.03,KM450230 
32,15/5/2019,15:24:34,32.71,49.26,KM450230 
33,15/5/2019,15:24:35,32.50,48.03,KM450230 
34,15/5/2019,15:24:36,32.30,46.52,KM450230 
35,15/5/2019,15:24:37,32.12,44.94,KM450230 
36,15/5/2019,15:24:38,31.96,43.43,KM450230 
37,15/5/2019,15:24:40,31.81,42.07,KM450230 
38,15/5/2019,15:24:41,31.68,40.83,KM450230 
39,15/5/2019,15:24:42,31.56,39.71,KM450230 
40,15/5/2019,15:24:43,31.45,38.72,KM450230 
